signal transduction,signal transduction,ENSG00000003393,ENSG00000007264,ENSG00000013725,ENSG00000019991,ENSG00000027075,ENSG00000035862,ENSG00000037280,ENSG00000044524,ENSG00000051128,ENSG00000058091,ENSG00000062524,ENSG00000064547,ENSG00000065357,ENSG00000065989,ENSG00000072071,ENSG00000074370,ENSG00000075884,ENSG00000076344,ENSG00000081189,ENSG00000081237,ENSG00000082512,ENSG00000084207,ENSG00000085719,ENSG00000087053,ENSG00000090924,ENSG00000095370,ENSG00000100614,ENSG00000102287,ENSG00000102978,ENSG00000104814,ENSG00000104938,ENSG00000105122,ENSG00000105472,ENSG00000105851,ENSG00000106100,ENSG00000107562,ENSG00000108797,ENSG00000109046,ENSG00000111796,ENSG00000111913,ENSG00000114166,ENSG00000114650,ENSG00000115085,ENSG00000115232,ENSG00000115687,ENSG00000115935,ENSG00000120318,ENSG00000122707,ENSG00000124216,ENSG00000124813,ENSG00000125266,ENSG00000125910,ENSG00000127920,ENSG00000128340,ENSG00000128917,ENSG00000129467,ENSG00000130592,ENSG00000130755,ENSG00000131477,ENSG00000132535,ENSG00000133636,ENSG00000134242,ENSG00000135362,ENSG00000136021,ENSG00000136478,ENSG00000137809,ENSG00000139625,ENSG00000139644,ENSG00000139679,ENSG00000140368,ENSG00000140443,ENSG00000142552,ENSG00000143248,ENSG00000143369,ENSG00000146247,ENSG00000146469,ENSG00000146674,ENSG00000147168,ENSG00000152207,ENSG00000153071,ENSG00000154146,ENSG00000154589,ENSG00000155961,ENSG00000156049,ENSG00000157077,ENSG00000157554,ENSG00000158555,ENSG00000159314,ENSG00000160007,ENSG00000160654,ENSG00000162946,ENSG00000163812,ENSG00000163947,ENSG00000164220,ENSG00000164619,ENSG00000164691,ENSG00000164692,ENSG00000165124,ENSG00000167286,ENSG00000167535,ENSG00000167984,ENSG00000168118,ENSG00000169855,ENSG00000170004,ENSG00000170390,ENSG00000171680,ENSG00000171791,ENSG00000175029,ENSG00000177119,ENSG00000178175,ENSG00000178623,ENSG00000179348,ENSG00000180448,ENSG00000181104,ENSG00000182866,ENSG00000186469,ENSG00000187764,ENSG00000188130,ENSG00000189056,ENSG00000197057,ENSG00000197471,ENSG00000198286,ENSG00000198435,ENSG00000198648,ENSG00000198774,ENSG00000198821,ENSG00000198851,ENSG00000204301,ENSG00000204397,ENSG00000204475,ENSG00000204681,ENSG00000205268,ENSG00000211751,ENSG00000211772,ENSG00000211899,ENSG00000211967,ENSG00000215788,ENSG00000266412,ENSG00000271503
immune system process,immune system process,ENSG00000013725,ENSG00000027075,ENSG00000035862,ENSG00000037280,ENSG00000059804,ENSG00000078596,ENSG00000081189,ENSG00000081237,ENSG00000084207,ENSG00000085719,ENSG00000091592,ENSG00000104938,ENSG00000105122,ENSG00000105851,ENSG00000106004,ENSG00000106100,ENSG00000107281,ENSG00000107562,ENSG00000111796,ENSG00000111913,ENSG00000111981,ENSG00000114166,ENSG00000114650,ENSG00000115085,ENSG00000115232,ENSG00000115523,ENSG00000115935,ENSG00000124813,ENSG00000125266,ENSG00000125910,ENSG00000127152,ENSG00000128340,ENSG00000128917,ENSG00000130755,ENSG00000131504,ENSG00000132718,ENSG00000134242,ENSG00000136854,ENSG00000137959,ENSG00000139644,ENSG00000140368,ENSG00000140443,ENSG00000142748,ENSG00000143369,ENSG00000147168,ENSG00000151702,ENSG00000152207,ENSG00000153283,ENSG00000154589,ENSG00000154721,ENSG00000154760,ENSG00000155093,ENSG00000160654,ENSG00000160796,ENSG00000163508,ENSG00000164692,ENSG00000166482,ENSG00000167286,ENSG00000167535,ENSG00000167984,ENSG00000168071,ENSG00000168118,ENSG00000171791,ENSG00000172543,ENSG00000172716,ENSG00000177119,ENSG00000179348,ENSG00000180448,ENSG00000182866,ENSG00000184584,ENSG00000187764,ENSG00000196821,ENSG00000197471,ENSG00000198286,ENSG00000198435,ENSG00000198648,ENSG00000198707,ENSG00000198821,ENSG00000198851,ENSG00000204301,ENSG00000204475,ENSG00000211751,ENSG00000211772,ENSG00000211899,ENSG00000211967,ENSG00000227191,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell adhesion,cell adhesion,ENSG00000013725,ENSG00000044524,ENSG00000072071,ENSG00000081237,ENSG00000089327,ENSG00000091986,ENSG00000104938,ENSG00000105122,ENSG00000105851,ENSG00000107562,ENSG00000107742,ENSG00000108797,ENSG00000111913,ENSG00000113248,ENSG00000115085,ENSG00000115232,ENSG00000118946,ENSG00000125266,ENSG00000128340,ENSG00000132535,ENSG00000133401,ENSG00000134242,ENSG00000136854,ENSG00000137809,ENSG00000140368,ENSG00000153283,ENSG00000154721,ENSG00000162946,ENSG00000163520,ENSG00000165124,ENSG00000166482,ENSG00000168071,ENSG00000169604,ENSG00000169851,ENSG00000169855,ENSG00000171603,ENSG00000171791,ENSG00000182866,ENSG00000187764,ENSG00000187955,ENSG00000189056,ENSG00000197471,ENSG00000198286,ENSG00000198435,ENSG00000198851,ENSG00000204301,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vesicle-mediated transport,vesicle-mediated transport,ENSG00000003393,ENSG00000011028,ENSG00000013725,ENSG00000019991,ENSG00000034053,ENSG00000035862,ENSG00000044524,ENSG00000053770,ENSG00000059804,ENSG00000081237,ENSG00000084207,ENSG00000085719,ENSG00000087053,ENSG00000104938,ENSG00000105851,ENSG00000114650,ENSG00000115232,ENSG00000115935,ENSG00000118946,ENSG00000120318,ENSG00000125266,ENSG00000128340,ENSG00000130755,ENSG00000131477,ENSG00000131504,ENSG00000132535,ENSG00000132718,ENSG00000135439,ENSG00000136021,ENSG00000136854,ENSG00000140368,ENSG00000140443,ENSG00000142748,ENSG00000142765,ENSG00000143369,ENSG00000147168,ENSG00000153071,ENSG00000153339,ENSG00000155093,ENSG00000155961,ENSG00000157077,ENSG00000159164,ENSG00000159314,ENSG00000160654,ENSG00000160796,ENSG00000168118,ENSG00000169851,ENSG00000171603,ENSG00000172543,ENSG00000172932,ENSG00000175029,ENSG00000177119,ENSG00000179348,ENSG00000180448,ENSG00000184584,ENSG00000198707,ENSG00000198774,ENSG00000198821,ENSG00000211751,ENSG00000211772,ENSG00000211899,ENSG00000211967,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell motility,cell motility,ENSG00000019991,ENSG00000037280,ENSG00000044524,ENSG00000081189,ENSG00000081237,ENSG00000084207,ENSG00000085719,ENSG00000105851,ENSG00000106004,ENSG00000107562,ENSG00000107742,ENSG00000111913,ENSG00000115085,ENSG00000115232,ENSG00000122707,ENSG00000124216,ENSG00000125266,ENSG00000127152,ENSG00000128340,ENSG00000128917,ENSG00000131504,ENSG00000135362,ENSG00000137809,ENSG00000140443,ENSG00000143369,ENSG00000146674,ENSG00000153071,ENSG00000154721,ENSG00000159753,ENSG00000160007,ENSG00000162946,ENSG00000164619,ENSG00000164692,ENSG00000169855,ENSG00000171680,ENSG00000171791,ENSG00000177119,ENSG00000179348,ENSG00000181104,ENSG00000182866,ENSG00000183914,ENSG00000184922,ENSG00000187764,ENSG00000189056,ENSG00000197471,ENSG00000198648,ENSG00000211899,ENSG00000211967,ENSG00000251562,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developmental maturation,developmental maturation,ENSG00000072071,ENSG00000100918,ENSG00000106004,ENSG00000122707,ENSG00000124813,ENSG00000132535,ENSG00000136854,ENSG00000162946,ENSG00000171603,ENSG00000171791,ENSG00000177119,ENSG00000179348,ENSG00000187764,ENSG00000189056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell population proliferation,cell population proliferation,ENSG00000007264,ENSG00000013725,ENSG00000019991,ENSG00000027075,ENSG00000035862,ENSG00000037280,ENSG00000062524,ENSG00000081189,ENSG00000081237,ENSG00000084207,ENSG00000104814,ENSG00000105122,ENSG00000105472,ENSG00000105851,ENSG00000106004,ENSG00000107562,ENSG00000110811,ENSG00000114166,ENSG00000115085,ENSG00000115232,ENSG00000118971,ENSG00000124813,ENSG00000125266,ENSG00000127152,ENSG00000128340,ENSG00000128917,ENSG00000129521,ENSG00000134242,ENSG00000140443,ENSG00000143369,ENSG00000146247,ENSG00000146469,ENSG00000146674,ENSG00000152104,ENSG00000162946,ENSG00000164619,ENSG00000167984,ENSG00000168071,ENSG00000169855,ENSG00000171791,ENSG00000175029,ENSG00000175274,ENSG00000179348,ENSG00000181104,ENSG00000182866,ENSG00000186469,ENSG00000197471,ENSG00000198286,ENSG00000198435,ENSG00000198851,ENSG00000251562,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell junction organization,cell junction organization,ENSG00000003393,ENSG00000027075,ENSG00000044524,ENSG00000067191,ENSG00000072071,ENSG00000081189,ENSG00000087053,ENSG00000107742,ENSG00000108797,ENSG00000118946,ENSG00000124216,ENSG00000125266,ENSG00000131477,ENSG00000132535,ENSG00000140443,ENSG00000141385,ENSG00000155961,ENSG00000162946,ENSG00000165124,ENSG00000167535,ENSG00000171603,ENSG00000171791,ENSG00000175029,ENSG00000181104,ENSG00000187764,ENSG00000189056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cell death,cell death,ENSG00000003393,ENSG00000019991,ENSG00000027075,ENSG00000037280,ENSG00000062524,ENSG00000074370,ENSG00000081189,ENSG00000081237,ENSG00000082512,ENSG00000084207,ENSG00000090924,ENSG00000091592,ENSG00000099968,ENSG00000105851,ENSG00000106004,ENSG00000106100,ENSG00000107562,ENSG00000109736,ENSG00000115232,ENSG00000118971,ENSG00000119707,ENSG00000124216,ENSG00000125266,ENSG00000127152,ENSG00000129521,ENSG00000131477,ENSG00000135439,ENSG00000136854,ENSG00000139625,ENSG00000139644,ENSG00000140443,ENSG00000146247,ENSG00000146469,ENSG00000146674,ENSG00000153071,ENSG00000154589,ENSG00000160654,ENSG00000163812,ENSG00000163947,ENSG00000165678,ENSG00000169855,ENSG00000171680,ENSG00000171791,ENSG00000172716,ENSG00000177119,ENSG00000179348,ENSG00000181104,ENSG00000182866,ENSG00000187764,ENSG00000196074,ENSG00000198286,ENSG00000198712,ENSG00000198851,ENSG00000204397,ENSG00000215788,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extracellular matrix organization,extracellular matrix organization,ENSG00000035862,ENSG00000091986,ENSG00000107742,ENSG00000115232,ENSG00000122707,ENSG00000131477,ENSG00000137809,ENSG00000139329,ENSG00000154721,ENSG00000159753,ENSG00000163520,ENSG00000164692,ENSG00000166482,ENSG00000169604,ENSG00000187955,ENSG00000204248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locomotion,locomotion,ENSG00000019991,ENSG00000037280,ENSG00000044524,ENSG00000081189,ENSG00000081237,ENSG00000084207,ENSG00000085719,ENSG00000105851,ENSG00000106004,ENSG00000107562,ENSG00000107742,ENSG00000111913,ENSG00000115085,ENSG00000115232,ENSG00000122707,ENSG00000124216,ENSG00000125266,ENSG00000127152,ENSG00000128340,ENSG00000128917,ENSG00000131504,ENSG00000135362,ENSG00000137809,ENSG00000140443,ENSG00000143369,ENSG00000146674,ENSG00000153071,ENSG00000154721,ENSG00000159753,ENSG00000160007,ENSG00000162946,ENSG00000164619,ENSG00000164692,ENSG00000169855,ENSG00000171680,ENSG00000171791,ENSG00000177119,ENSG00000179348,ENSG00000181104,ENSG00000182866,ENSG00000183914,ENSG00000184922,ENSG00000187764,ENSG00000189056,ENSG00000197471,ENSG00000198648,ENSG00000211899,ENSG00000211967,ENSG00000251562,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transport,transport,ENSG00000003393,ENSG00000011028,ENSG00000013725,ENSG00000019991,ENSG00000034053,ENSG00000035862,ENSG00000044524,ENSG00000051128,ENSG00000053770,ENSG00000059804,ENSG00000067191,ENSG00000072818,ENSG00000074370,ENSG00000081189,ENSG00000081237,ENSG00000084207,ENSG00000085719,ENSG00000087053,ENSG00000089327,ENSG00000100614,ENSG00000102287,ENSG00000104938,ENSG00000105851,ENSG00000107562,ENSG00000109736,ENSG00000112782,ENSG00000114120,ENSG00000114650,ENSG00000115232,ENSG00000115687,ENSG00000115935,ENSG00000118946,ENSG00000120318,ENSG00000124532,ENSG00000125266,ENSG00000128340,ENSG00000130755,ENSG00000131477,ENSG00000131504,ENSG00000132535,ENSG00000132718,ENSG00000135338,ENSG00000135362,ENSG00000135439,ENSG00000136021,ENSG00000136463,ENSG00000136478,ENSG00000136854,ENSG00000139644,ENSG00000140368,ENSG00000140443,ENSG00000141385,ENSG00000142552,ENSG00000142748,ENSG00000142765,ENSG00000143369,ENSG00000144645,ENSG00000146469,ENSG00000147168,ENSG00000147454,ENSG00000152104,ENSG00000153071,ENSG00000153339,ENSG00000153956,ENSG00000155093,ENSG00000155961,ENSG00000157077,ENSG00000159164,ENSG00000159314,ENSG00000160654,ENSG00000160796,ENSG00000163812,ENSG00000164168,ENSG00000167208,ENSG00000167323,ENSG00000167535,ENSG00000168071,ENSG00000168118,ENSG00000169604,ENSG00000169851,ENSG00000171488,ENSG00000171603,ENSG00000171791,ENSG00000172543,ENSG00000172932,ENSG00000175029,ENSG00000177119,ENSG00000177272,ENSG00000177685,ENSG00000178623,ENSG00000179348,ENSG00000180448,ENSG00000181104,ENSG00000182866,ENSG00000184584,ENSG00000184611,ENSG00000189056,ENSG00000198648,ENSG00000198707,ENSG00000198712,ENSG00000198727,ENSG00000198774,ENSG00000198821,ENSG00000198886,ENSG00000198899,ENSG00000198938,ENSG00000211751,ENSG00000211772,ENSG00000211899,ENSG00000211967,ENSG00000228253,ENSG00000266412,ENSG00000271503,,,,,,,,,,,,,,,,,,,,,,,,,,